,AAPL,AMZN,BSX,CI,COST,CVX,GOOGL,GS,HSBC,LMT,MCD,MRK,MSFT,PFE,QQQ,TSLA
1096,141.76132202148438,113.79000091552734,40.86000061035156,286.3488464355469,461.56573486328125,157.13040161132812,99.97000122070312,300.2591247558594,25.674423217773438,389.74969482421875,242.40585327148438,92.85494995117188,235.75531005859375,42.42626953125,268.2913513183594,219.35000610351562
1097,143.09521484375,116.36000061035156,41.08000183105469,290.12176513671875,470.6146240234375,158.50387573242188,100.7699966430664,307.24896240234375,25.559551239013672,423.6226501464844,245.071044921875,93.33836364746094,236.7180633544922,42.85393524169922,270.4129638671875,220.19000244140625
1098,143.2047119140625,115.06999969482422,40.959999084472656,289.4698791503906,468.78497314453125,163.64706420898438,99.62999725341797,305.20294189453125,25.502111434936523,431.588134765625,246.60528564453125,92.00650787353516,234.71316528320312,41.90140914916992,269.4268798828125,222.0399932861328
1099,142.7368621826172,115.25,40.22999954223633,290.6847839355469,462.01318359375,164.5821990966797,99.97000122070312,304.2729187011719,25.482967376708984,435.8847961425781,245.6414794921875,91.69081115722656,234.3856201171875,41.70701217651367,268.0522766113281,207.27999877929688
1100,146.59918212890625,119.31999969482422,40.56999969482422,297.628173828125,475.4971008300781,168.7025909423828,101.12999725341797,318.2623291015625,26.05733871459961,445.9593505859375,250.34246826171875,94.38410949707031,240.31103515625,43.68982696533203,274.3374938964844,214.44000244140625
1101,148.76925659179688,119.81999969482422,40.97999954223633,303.1690673828125,494.1816711425781,168.64414978027344,102.5199966430664,321.78662109375,25.78929901123047,448.755126953125,251.09974670410156,96.06127166748047,245.40269470214844,44.263282775878906,277.3555908203125,211.25
1102,151.64610290527344,120.5999984741211,41.29999923706055,307.0901794433594,496.25994873046875,170.3975067138672,104.4800033569336,325.4088134765625,24.59269142150879,451.3939208984375,251.50296020507812,96.39669799804688,248.78721618652344,44.311885833740234,283.09295654296875,222.4199981689453
1103,148.66970825195312,115.66000366210938,41.790000915527344,311.070556640625,496.64776611328125,172.50152587890625,94.93000030517578,328.6296081542969,24.803293228149414,453.758056640625,252.36839294433594,97.08728790283203,229.5917205810547,44.768707275390625,276.8376159667969,224.63999938964844
1104,144.14044189453125,110.95999908447266,41.58000183105469,312.6804504394531,494.6454162597656,173.29054260253906,92.22000122070312,330.0882568359375,24.92774200439453,462.94976806640625,260.7279052734375,98.3994140625,225.05584716796875,44.457679748535156,271.7975158691406,225.08999633789062
1105,155.03060913085938,103.41000366210938,43.15999984741211,320.75970458984375,508.9207458496094,175.31666564941406,96.29000091552734,334.6307067871094,24.822439193725586,475.6435241699219,269.9823913574219,99.41556549072266,234.1077117919922,46.10029602050781,280.11468505859375,228.52000427246094
1106,152.64154052734375,102.44000244140625,43.11000061035156,319.08062744140625,499.5865173339844,176.2128143310547,94.51000213623047,337.26409912109375,24.803293228149414,477.4190979003906,268.15313720703125,99.83978271484375,230.39566040039062,45.24496841430664,276.8575744628906,227.5399932861328
1107,149.9637908935547,96.79000091552734,42.7599983215332,321.115234375,498.0523681640625,177.49862670898438,90.47000122070312,341.2485046386719,25.31065559387207,476.38909912109375,268.4383544921875,98.41915130615234,226.46524047851562,46.664039611816406,274.0287170410156,227.82000732421875
1108,144.369384765625,92.12000274658203,41.93000030517578,316.90771484375,481.6651306152344,173.875,86.97000122070312,342.43304443359375,24.985177993774414,472.88702392578125,265.9009704589844,98.06398010253906,218.45555114746094,45.75039291381836,264.6357727050781,214.97999572753906
1109,138.2473907470703,89.30000305175781,41.529998779296875,320.2460632324219,484.4345397949219,176.43685913085938,83.43000030517578,341.53240966796875,24.784147262573242,475.5945129394531,268.4383544921875,97.42272186279297,212.64926147460938,45.65235900878906,259.4661560058594,215.30999755859375
1110,137.97817993164062,90.9800033569336,41.59000015258789,318.1620788574219,484.5540771484375,178.6675262451172,86.58000183105469,350.3822937011719,26.95718765258789,472.5044860839844,270.0806884765625,97.86666870117188,219.73590087890625,46.289554595947266,263.63970947265625,207.47000122070312
1111,138.51661682128906,90.52999877929688,41.959999084472656,320.37451171875,486.6858825683594,180.80078125,88.48999786376953,354.9344482421875,26.401962280273438,479.3320007324219,271.8411560058594,98.7249755859375,226.16749572753906,46.162113189697266,266.5382385253906,197.0800018310547
1112,139.09494018554688,89.9800033569336,41.91999816894531,323.7029724121094,490.8798828125,180.5377655029297,88.9000015258789,356.3637390136719,26.545555114746094,484.717529296875,273.7982482910156,100.13575744628906,227.16001892089844,46.416988372802734,268.4806213378906,191.3000030517578
1113,134.47837829589844,86.13999938964844,42.060001373291016,320.98681640625,488.1004943847656,173.3197784423828,87.31999969482422,354.38623046875,25.980754852294922,475.9476318359375,273.1983337402344,100.22454071044922,222.8325958251953,45.799407958984375,262.2850646972656,177.58999633789062
1114,146.4435272216797,96.62999725341797,43.7599983215332,319.3572082519531,511.172119140625,176.6024627685547,93.94000244140625,370.3531799316406,26.660429000854492,481.4312744140625,271.3199157714844,100.52051544189453,241.1645965576172,46.44640350341797,281.6387023925781,190.72000122070312
1115,149.2653045654297,100.79000091552734,42.52000045776367,300.07763671875,513.503173828125,181.62876892089844,96.41000366210938,377.0689392089844,26.851886749267578,455.0333251953125,266.90411376953125,96.64334106445312,245.2637481689453,46.66206359863281,286.8282165527344,195.97000122070312
1116,147.8494415283203,98.48999786376953,42.2400016784668,303.0703125,507.73529052734375,181.71644592285156,95.69999694824219,374.3179931640625,26.98590850830078,453.24798583984375,267.7695617675781,99.00121307373047,239.7452850341797,48.26974868774414,284.318115234375,190.9499969482422
1117,149.6043243408203,98.94000244140625,42.41999816894531,301.4110107421875,524.4612426757812,183.1775665283203,98.44000244140625,374.8271179199219,27.043344497680664,458.35882568359375,263.41278076171875,98.26129150390625,240.16213989257812,47.61294937133789,288.2525939941406,194.4199981689453
1118,148.3579559326172,97.12000274658203,42.97999954223633,302.9122619628906,522.1102294921875,180.1968536376953,98.8499984741211,374.2886657714844,27.062490463256836,457.3680725097656,268.0056457519531,98.58686065673828,240.60008239746094,47.10319519042969,284.318115234375,186.9199981689453
1119,150.28236389160156,94.8499984741211,42.20000076293945,308.255615234375,519.3308715820312,180.70729064941406,98.36000061035156,371.79229736328125,27.359249114990234,463.7738037109375,268.8415222167969,100.93486785888672,240.55030822753906,47.377681732177734,283.6905822753906,183.1699981689453
